character,variant,mass,center_x,center_y,second_moment,sobel_mean_magnitude,sobel_std_magnitude,aspect_ratio,vertical_intensity_variance,num_contours,hole_count,avg_euler_number,avg_contour_solidity,avg_contour_area,compactness,cc_count,avg_cc_area,cc_area_std,left_sum,right_sum,top_sum,bottom_sum,avgs,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8
4,116,57,0.23684210526315788,1.043859649122807,494.27012634277344,25.331610365004103,82.02674954742274,1.0,118.82780456542969,1,0,1.0,0.9701492537313433,32.5,0.7672869965994044,1,44.0,0.0,562,1863,681,1093,,14.533,48.267,64.267,14.2,45.083,93.333,107.75,51.25
4,117,79,0.7531645569620253,-0.33544303797468356,511.2870445251465,27.644766180087323,77.57524893030185,1.0,146.28515243530273,1,0,1.0,0.9509803921568627,48.5,0.7384875558029562,1,62.0,0.0,643,1895,501,787,,7.25,39.1,67.533,14.333,45.75,76.25,89.067,47.333
4,118,64,1.078125,1.59375,442.43450927734375,25.35177572042955,78.45887636412492,1.0,113.90643310546875,1,0,1.0,0.8829787234042553,41.5,0.6699853143519977,1,55.0,0.0,834,2160,563,583,,6.75,44.583,70.917,9.25,48.583,92.0,106.25,65.333
4,119,56,0.17857142857142858,1.0357142857142858,558.2322072982788,27.31144049144016,91.83529788176504,1.0,132.21990871429443,1,0,1.0,0.9545454545454546,31.5,0.7436781659348073,1,43.0,0.0,558,1988,721,1157,,14.0,47.8,65.267,11.7,47.667,97.25,115.167,52.875
4,120,71,0.9366197183098591,0.09154929577464789,505.8607244491577,27.568299152554257,77.61123956512535,1.0,134.41922664642334,1,0,1.0,0.8901098901098901,40.5,0.6702264155759212,1,53.0,0.0,635,1636,244,735,,3.4,32.9,74.267,9.867,28.85,76.85,96.533,51.333
4,121,63,0.3253968253968254,1.0873015873015872,485.8491048812866,24.99657662486628,77.95162803487294,1.0,119.477858543396,1,0,1.0,0.9701492537313433,32.5,0.7672869965994044,1,44.0,0.0,569,1847,689,1088,,15.933,49.467,64.2,17.4,46.083,93.5,107.583,52.5
4,122,68,0.9705882352941176,1.5441176470588236,633.6193199157715,30.50496990045497,92.95078888918768,1.0,142.51531600952148,1,0,1.0,0.8375,33.5,0.6445506597818651,1,45.0,0.0,592,1751,619,792,,3.333,25.0,87.867,10.667,43.6,80.4,124.6,52.933
4,123,60,0.15,1.2666666666666666,478.00482082366943,25.31174366188455,78.51270801784288,1.0,105.12679958343506,1,0,1.0,0.8461538461538461,33.0,0.6471608925660934,1,45.0,0.0,802,1491,562,1289,,11.933,45.267,94.933,25.3,39.75,67.833,103.083,47.875
4,124,58,0.27586206896551724,1.1206896551724137,479.8348608016968,24.8812344856768,79.21792005581041,1.0,116.50450801849365,1,0,1.0,0.9701492537313433,32.5,0.7672869965994044,1,44.0,0.0,562,1834,677,1079,,15.0,48.533,63.867,15.3,44.833,92.5,106.167,51.25
4,125,74,0.8783783783783784,0.10810810810810811,483.46463680267334,26.6738181578445,73.82104366223932,1.0,129.72492122650146,1,0,1.0,0.925531914893617,43.5,0.7198728167296932,1,56.0,0.0,629,1620,249,729,,3.8,33.55,72.733,10.467,28.45,75.9,94.8,50.667
4,126,56,0.05357142857142857,1.2321428571428572,596.4503240585327,29.168160932615883,97.71062800590846,1.0,121.78458309173584,1,0,1.0,0.7123287671232876,26.0,0.4657727048219156,1,39.0,0.0,853,1584,606,1416,,10.333,43.333,105.267,18.0,42.833,69.917,116.167,46.625
4,127,62,0.27419354838709675,1.1129032258064515,472.9269781112671,24.620253107654232,77.31540119481399,1.0,115.54236507415771,1,0,1.0,0.9701492537313433,32.5,0.7672869965994044,1,44.0,0.0,568,1818,675,1069,,15.4,49.067,63.933,16.4,44.833,92.333,105.417,51.25
4,128,64,1.078125,1.59375,462.64524841308594,26.002321967971767,80.7045897999236,1.0,119.51799011230469,1,0,1.0,0.8829787234042553,41.5,0.6699853143519977,1,55.0,0.0,838,2231,577,593,,6.833,44.75,71.25,9.25,49.833,94.083,109.75,66.667
4,129,79,0.7531645569620253,-0.33544303797468356,521.5754051208496,28.065626913410597,79.3157768729352,1.0,148.6964988708496,1,0,1.0,0.9509803921568627,48.5,0.7384875558029562,1,62.0,0.0,645,1919,504,786,,7.05,39.1,68.0,13.933,46.3,76.4,89.867,47.467
