Country,Country_Code,Fertility_2010,Migration_Rate_2010,GDP_Growth_2010,Life_Expectancy_2010,Population_Change_Percent,Score_V1,Score_V2,Predicted_Group,Actual_Group
Turkiye,TUR,2.08,0.7592339027496458,6.79208232586733,74.964,12.902669664482108,-0.9476152418428029,-0.4709862172273519,Stable,Moderate Growth
Turkmenistan,TKM,2.848,1.189895110952642,6.98701634742274,68.608,22.27729498256402,0.36056039620463187,0.8619366401307094,Moderate Growth,High Growth
Turks and Caicos Islands,TCA,1.907,29.01913312485289,-2.92353368570767,76.784,45.149467029826155,1.4668580955662436,0.7100724588628801,Low Growth,High Growth
Tuvalu,TUV,3.442,2.0727341247409083,-3.63168142704605,64.834,-0.3109101187111362,1.2917352709093977,0.44504902414631575,Moderate Growth,Stable
Uganda,UGA,6.019,-5.196598713424879,2.57308463341826,59.959,32.752616005000434,2.9038592276300492,2.8448790223482656,Stable,High Growth
Ukraine,UKR,1.436,0.34505766671316945,4.46782513515676,70.188,-3.225729514439716,-0.863707072331815,-0.6821466148852062,Stable,Declining
United Arab Emirates,ARE,1.565,23.558343006050507,-0.804617484632033,81.886,37.49647371597409,0.10585953015503069,-0.3819259417210096,Low Growth,High Growth
United Kingdom,GBR,1.92,4.378316316390156,1.43505257035225,80.4024390243902,6.157175104851141,-1.3427162186624921,-1.546171610073927,Low Growth,Low Growth
United States,USA,1.931,5.153733717660746,1.82992369865936,78.5414634146342,6.738677185579708,-1.0415295246796543,-1.1948553269425222,Low Growth,Low Growth
Upper middle income,UMC,1.93188483222883,-0.3226556536257987,7.67375006485796,73.8314745903693,7.646216855165661,-1.0201630885825719,-0.43160478286057335,Declining,Low Growth
Uruguay,URY,2.011,-2.3190641780520584,7.52764617823019,76.691,2.369266372966751,-1.4960912644633555,-0.9260811059332239,Low Growth,Low Growth
Uzbekistan,UZB,2.442,-0.7179720523565795,5.90590026943735,69.836,16.132159137836048,-0.24400162282446874,0.12012502008958731,Stable,High Growth
Vanuatu,VUT,4.126,-5.930794802055002,-1.08593808514806,69.57,22.55506866794265,0.42189151383418766,-0.10160810656255259,Stable,High Growth
"Venezuela, RB",VEN,2.396,-1.8318403145846744,-2.77023251504841,73.092,0.4338200181924188,-0.7655040135425171,-1.5028277950981268,Stable,Stable
Viet Nam,VNM,1.906,-0.050803181955478165,5.21227683604808,73.611,11.11269465291193,-0.9854185064541581,-0.709348586979703,Declining,Moderate Growth
Virgin Islands (U.S.),VIR,2.3,-11.545170132063456,0.640017045957947,77.8658536585366,-1.5578135238147974,-2.3344132545050993,-2.638799813933976,Stable,Stable
West Bank and Gaza,PSE,4.434,-6.959820250644387,3.06565425625401,73.302,23.748197712669906,0.09263651248619292,0.09618889328048272,Stable,High Growth
World,WLD,2.5681653452478,0.0,3.26292949064214,70.6818433466141,11.098520450115178,-0.18803424876683061,-0.15943742754595996,Moderate Growth,Moderate Growth
"Yemen, Rep.",YEM,4.81,0.7575953805258181,4.37449720786746,67.223,31.236077283325535,1.8105536448562114,1.980265956627654,High Growth,High Growth
Zambia,ZMB,5.359,1.629791042185531,6.54512358380669,56.896,32.567501246277104,3.479268065906164,3.9245452407947887,High Growth,High Growth
Zimbabwe,ZWE,4.04,-8.136159133332955,17.7601241720939,51.925,14.336189260877886,2.2202105070647824,4.089251871049858,Stable,Moderate Growth
