Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.2
Channel Islands,CHI,Net migration,SM.POP.NETM,900
Chile,CHL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.43
Chile,CHL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.962096016030856
Chile,CHL,Population growth (annual %),SP.POP.GROW,1.59911795256016
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.324
Chile,CHL,Net migration,SM.POP.NETM,181339
China,CHN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.496
China,CHN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.6929006014863
China,CHN,Population growth (annual %),SP.POP.GROW,0.354740890170827
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.94
China,CHN,Net migration,SM.POP.NETM,-656091
Colombia,COL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.71
Colombia,COL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.36014067984289
Colombia,COL,Population growth (annual %),SP.POP.GROW,1.78615507724394
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.793
Colombia,COL,Net migration,SM.POP.NETM,396826
Comoros,COM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.138
Comoros,COM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.65415614580486
Comoros,COM,Population growth (annual %),SP.POP.GROW,1.92385702700328
Comoros,COM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.662
Comoros,COM,Net migration,SM.POP.NETM,-2916
"Congo, Dem. Rep.",COD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.253
"Congo, Dem. Rep.",COD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.12791372118168
"Congo, Dem. Rep.",COD,Population growth (annual %),SP.POP.GROW,3.1695285579572
"Congo, Dem. Rep.",COD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.242
"Congo, Dem. Rep.",COD,Net migration,SM.POP.NETM,-144920
"Congo, Rep.",COG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.38
"Congo, Rep.",COG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.27988440285151
"Congo, Rep.",COG,Population growth (annual %),SP.POP.GROW,2.40634419722279
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.152
"Congo, Rep.",COG,Net migration,SM.POP.NETM,-6268
Costa Rica,CRI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.6
Costa Rica,CRI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.56255641347028
Costa Rica,CRI,Population growth (annual %),SP.POP.GROW,0.838278384859255
Costa Rica,CRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.296
Costa Rica,CRI,Net migration,SM.POP.NETM,1653
Cote d'Ivoire,CIV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.523
Cote d'Ivoire,CIV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.96244737490909
Cote d'Ivoire,CIV,Population growth (annual %),SP.POP.GROW,2.61916841176218
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.274
Cote d'Ivoire,CIV,Net migration,SM.POP.NETM,2043
Croatia,HRV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.47
Croatia,HRV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.12860062660076
Croatia,HRV,Population growth (annual %),SP.POP.GROW,-0.992302961069294
Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.2243902439024
Croatia,HRV,Net migration,SM.POP.NETM,-13239
Cuba,CUB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.54
Cuba,CUB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.0532186639248664
Cuba,CUB,Population growth (annual %),SP.POP.GROW,-0.216424863402489
Cuba,CUB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.413
Cuba,CUB,Net migration,SM.POP.NETM,-23955
Curacao,CUW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.6
Curacao,CUW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.04109605237913
Curacao,CUW,Population growth (annual %),SP.POP.GROW,-1.19643951751799
Curacao,CUW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.492
Curacao,CUW,Net migration,SM.POP.NETM,-9595
Cyprus,CYP,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.33
Cyprus,CYP,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.44895560339916
Cyprus,CYP,Population growth (annual %),SP.POP.GROW,1.24612155650882
Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.454
Cyprus,CYP,Net migration,SM.POP.NETM,9983
Czechia,CZE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.71
Czechia,CZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.15874802851988
Czechia,CZE,Population growth (annual %),SP.POP.GROW,0.393788864202175
