filename,predicted_class,confidence
cell_r20_c15_blob_1_word_2_char_00.png,3,0.9947
cell_r20_c15_blob_1_word_3_char_01.png,5,1.0
cell_r20_c15_blob_1_word_3_char_02.png,5,1.0
cell_r20_c15_blob_1_word_3_char_03.png,2,0.6473
cell_r20_c15_blob_1_word_3_char_05.png,2,0.9999
cell_r20_c17_blob_1_word_1_char_00.png,6,0.9996
cell_r20_c17_blob_1_word_1_char_01.png,6,0.9999
cell_r20_c17_blob_1_word_1_char_02.png,2,0.9997
cell_r20_c18_blob_1_word_1_char_00.png,6,0.9999
cell_r20_c18_blob_1_word_3_char_00.png,2,0.9992
cell_r20_c18_blob_1_word_3_char_01.png,3,1.0
cell_r20_c18_blob_1_word_4_char_00.png,6,0.985
cell_r20_c18_blob_1_word_5_char_01.png,1,1.0
cell_r20_c7_blob_1_word_1_char_00.png,3,0.379
cell_r20_c7_blob_1_word_4_char_00.png,4,0.9994
cell_r20_c7_blob_1_word_4_char_04.png,3,0.9344
cell_r2_c0_blob_2_word_1_char_00.png,6,0.9948
cell_r2_c0_blob_2_word_2_char_01.png,7,0.7018
cell_r2_c10_blob_1_word_1_char_02.png,6,0.9846
cell_r2_c10_blob_1_word_1_char_07.png,5,0.913
cell_r2_c10_blob_2_word_1_char_01.png,6,0.7031
cell_r2_c11_blob_2_word_2_char_01.png,5,0.7798
cell_r2_c11_blob_3_word_1_char_00.png,6,0.8824
cell_r2_c4_blob_1_word_1_char_01.png,6,0.8532
cell_r2_c4_blob_1_word_1_char_05.png,4,0.814
cell_r2_c4_blob_2_word_1_char_00.png,6,0.6223
cell_r2_c6_blob_2_word_2_char_02.png,6,0.9893
cell_r2_c6_blob_2_word_2_char_03.png,5,0.9997
cell_r2_c7_blob_2_word_2_char_01.png,3,0.606
cell_r2_c8_blob_2_word_1_char_02.png,6,0.9627
cell_r2_c8_blob_2_word_1_char_03.png,1,0.8457
cell_r4_c10_blob_1_word_2_char_02.png,3,0.961
cell_r4_c10_blob_1_word_3_char_00.png,4,0.9951
cell_r4_c10_blob_1_word_3_char_01.png,2,1.0
cell_r4_c10_blob_1_word_3_char_02.png,9,0.9816
cell_r4_c10_blob_1_word_3_char_03.png,8,0.9338
cell_r4_c10_blob_1_word_4_char_00.png,3,0.9992
cell_r4_c11_blob_1_word_1_char_01.png,2,0.2935
cell_r4_c11_blob_1_word_2_char_01.png,4,0.9124
cell_r4_c11_blob_1_word_4_char_01.png,5,0.9997
cell_r4_c12_blob_1_word_1_char_02.png,6,0.9876
cell_r4_c14_blob_1_word_1_char_00.png,3,0.5205
cell_r4_c14_blob_1_word_2_char_01.png,2,0.9271
cell_r4_c14_blob_1_word_2_char_02.png,5,0.9999
cell_r4_c14_blob_1_word_3_char_02.png,5,0.9999
cell_r4_c14_blob_1_word_3_char_04.png,2,0.9992
cell_r4_c15_blob_1_word_3_char_01.png,7,0.9922
cell_r4_c15_blob_1_word_3_char_02.png,8,0.3964
cell_r4_c16_blob_1_word_1_char_00.png,2,1.0
cell_r4_c17_blob_1_word_1_char_00.png,1,0.9996
cell_r4_c17_blob_1_word_1_char_01.png,5,0.9846
cell_r4_c17_blob_1_word_2_char_00.png,9,0.9132
cell_r4_c17_blob_1_word_3_char_00.png,0,0.9947
cell_r4_c17_blob_1_word_3_char_01.png,5,0.9981
cell_r4_c17_blob_1_word_4_char_00.png,3,0.9981
cell_r4_c17_blob_1_word_4_char_02.png,2,0.7133
cell_r4_c18_blob_1_word_1_char_00.png,8,0.9996
cell_r4_c18_blob_1_word_2_char_01.png,3,0.8702
cell_r4_c18_blob_1_word_3_char_00.png,3,0.7132
cell_r4_c18_blob_1_word_3_char_01.png,6,0.8769
cell_r4_c18_blob_1_word_3_char_03.png,2,0.9999
cell_r4_c1_blob_1_word_1_char_06.png,9,0.4581
cell_r4_c1_blob_1_word_3_char_08.png,6,0.9841
cell_r4_c6_blob_1_word_1_char_00.png,5,0.9963
cell_r4_c6_blob_1_word_2_char_00.png,4,0.9931
cell_r4_c6_blob_1_word_2_char_01.png,5,0.7077
cell_r4_c6_blob_1_word_3_char_00.png,5,0.995
cell_r4_c6_blob_1_word_5_char_02.png,0,0.9981
cell_r4_c7_blob_1_word_2_char_00.png,5,0.9897
cell_r4_c7_blob_1_word_2_char_02.png,6,0.7929
cell_r4_c7_blob_1_word_3_char_00.png,5,0.7549
cell_r5_c0_blob_1_word_1_char_00.png,2,0.9942
cell_r6_c0_blob_1_word_1_char_00.png,2,0.9965
cell_r6_c10_blob_1_word_2_char_02.png,6,0.9731
cell_r6_c10_blob_1_word_2_char_05.png,6,0.7782
cell_r6_c11_blob_1_word_1_char_00.png,5,0.6961
cell_r6_c11_blob_1_word_2_char_00.png,8,0.4997
cell_r6_c11_blob_1_word_2_char_01.png,4,0.9894
cell_r6_c11_blob_1_word_3_char_01.png,4,0.9977
cell_r6_c11_blob_1_word_3_char_02.png,0,0.8678
cell_r6_c11_blob_1_word_3_char_03.png,0,0.5311
cell_r6_c14_blob_1_word_1_char_01.png,5,0.9813
cell_r6_c14_blob_1_word_1_char_02.png,0,0.9923
cell_r6_c14_blob_1_word_1_char_05.png,9,0.6635
cell_r6_c14_blob_1_word_1_char_06.png,5,0.9876
cell_r6_c14_blob_1_word_1_char_08.png,3,0.9773
cell_r6_c14_blob_1_word_1_char_09.png,5,0.9408
cell_r6_c17_blob_1_word_1_char_00.png,1,0.9999
cell_r6_c17_blob_1_word_1_char_01.png,1,0.9964
cell_r6_c17_blob_1_word_1_char_02.png,5,0.999
cell_r6_c17_blob_1_word_1_char_03.png,2,1.0
cell_r6_c17_blob_1_word_1_char_04.png,5,0.5123
cell_r6_c17_blob_1_word_1_char_05.png,2,0.9905
cell_r6_c17_blob_1_word_1_char_06.png,5,0.575
cell_r6_c17_blob_1_word_1_char_07.png,0,0.9954
cell_r6_c17_blob_1_word_1_char_08.png,3,0.9225
cell_r6_c17_blob_1_word_1_char_09.png,0,0.9916
cell_r6_c18_blob_1_word_2_char_00.png,3,0.7364
cell_r6_c18_blob_1_word_4_char_00.png,3,0.9371
cell_r6_c18_blob_1_word_6_char_00.png,5,0.9461
cell_r6_c1_blob_1_word_2_char_00.png,6,0.6928
cell_r6_c6_blob_1_word_1_char_00.png,7,0.5541
cell_r6_c6_blob_1_word_1_char_03.png,0,0.9894
cell_r6_c7_blob_1_word_3_char_02.png,0,1.0
cell_r7_c0_blob_1_word_1_char_00.png,2,0.9945
cell_r7_c0_blob_1_word_2_char_00.png,2,0.9996
cell_r7_c10_blob_1_word_3_char_00.png,7,0.9988
cell_r7_c10_blob_1_word_3_char_01.png,5,0.9998
cell_r7_c10_blob_1_word_3_char_02.png,5,0.9992
cell_r7_c10_blob_1_word_3_char_03.png,5,0.9991
cell_r7_c11_blob_1_word_4_char_00.png,5,0.8734
cell_r7_c11_blob_1_word_4_char_01.png,6,0.8241
cell_r7_c11_blob_1_word_5_char_00.png,5,0.9971
cell_r7_c11_blob_1_word_5_char_01.png,5,0.9773
cell_r7_c14_blob_1_word_1_char_00.png,6,0.441
cell_r7_c14_blob_1_word_2_char_01.png,7,0.5598
cell_r7_c14_blob_1_word_3_char_02.png,6,0.8478
cell_r7_c14_blob_1_word_3_char_03.png,2,0.5399
cell_r7_c15_blob_1_word_1_char_00.png,5,0.9784
cell_r7_c15_blob_1_word_2_char_02.png,0,0.9996
cell_r7_c15_blob_1_word_3_char_01.png,5,0.6714
cell_r7_c15_blob_1_word_3_char_02.png,3,0.9921
cell_r7_c17_blob_1_word_2_char_01.png,8,0.8597
cell_r7_c17_blob_1_word_3_char_00.png,1,0.6417
cell_r7_c17_blob_1_word_3_char_01.png,0,0.7994
cell_r7_c17_blob_1_word_4_char_00.png,5,0.9961
cell_r7_c17_blob_1_word_4_char_03.png,4,0.999
cell_r7_c18_blob_1_word_1_char_00.png,2,0.9999
cell_r7_c18_blob_1_word_1_char_01.png,0,0.6842
cell_r7_c18_blob_1_word_1_char_02.png,2,0.9995
cell_r7_c18_blob_1_word_3_char_00.png,3,0.9959
cell_r7_c18_blob_1_word_3_char_01.png,5,0.8911
cell_r7_c18_blob_1_word_4_char_01.png,2,1.0
cell_r7_c6_blob_1_word_3_char_00.png,2,1.0
cell_r8_c0_blob_1_word_1_char_00.png,2,0.9364
cell_r8_c10_blob_1_word_1_char_00.png,2,1.0
cell_r8_c10_blob_1_word_1_char_02.png,3,0.9994
cell_r8_c11_blob_1_word_1_char_01.png,2,0.9848
